TYP,CON,Year,PRO,IMP,NP
Poultry meat,187162,2014,54809,108967,28196358
Pork,22123,2014,22932,4689,28196358
Beaf and Veal,40185,2014,22781,27263,28196358
Sheep meat and Goat meat,38822,2014,43080,3394,28196358
Poultry meat,205056,2015,57276,121861,28870939
Pork,24239,2015,24513,6972,28870939
Beaf and Veal,44027,2015,23841,32137,28870939
Sheep meat and Goat meat,42534,2015,45121,3715,28870939
Poultry meat,191119,2016,59108,96975,29554303
Pork,22591,2016,26107,8271,29554303
Beaf and Veal,41035,2016,24961,26268,29554303
Sheep meat and Goat meat,39643,2016,47634,4521,29554303
Poultry meat,229708,2017,60291,151346,30222262
Pork,27153,2017,27412,5722,30222262
Beaf and Veal,49321,2017,26134,28955,30222262
Sheep meat and Goat meat,47647,2017,50288,3685,30222262
Poultry meat,266250,2018,61496,204754,30870641
Pork,31474,2018,28392,3082,30870641
Beaf and Veal,57166,2018,26716,30450,30870641
Sheep meat and Goat meat,55226,2018,51686,3541,30870641
